                  铁矿2001 (I2001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	
 2019/01/16	   472.5	   480.0	   472.5	   478.0	           1646	           	           	           	           	           	           	           	           	
 2019/01/17	   477.5	   482.0	   476.0	   481.0	           1012	           	           	           	           	           	           	           	           	
 2019/01/18	   480.0	   497.0	   480.0	   497.0	           1604	           	           	           	           	           	           	           	           	
 2019/01/21	   495.5	   507.0	   494.5	   497.0	           2416	           	           	           	           	           	           	           	           	
 2019/01/22	   496.0	   500.5	   490.0	   490.5	           1504	     488.70	           	           	           	           	           	           	           	
 2019/01/23	   489.5	   493.0	   489.5	   492.0	            590	     491.50	           	           	           	           	           	           	           	
 2019/01/24	   493.5	   498.0	   493.5	   495.0	            962	     494.30	           	           	           	           	           	           	           	
 2019/01/25	   496.0	   498.0	   494.0	   495.5	            728	     494.00	           	           	           	           	           	           	           	
 2019/01/28	   496.0	   523.0	   495.0	   505.0	           4112	     495.60	           	           	           	           	           	           	           	
 2019/01/29	   507.5	   514.5	   505.0	   514.5	           1152	     500.40	     494.55	           	           	           	           	           	           	
 2019/01/30	   515.0	   540.5	   515.0	   529.0	           9182	     507.80	     499.65	           	           	           	           	           	           	
 2019/01/31	   530.5	   532.0	   514.5	   526.5	           7068	     514.10	     504.20	           	           	           	           	           	           	
 2019/02/01	   527.5	   550.0	   525.5	   546.0	           6138	     524.20	     509.10	           	           	           	           	           	           	
 2019/02/11	   582.5	   582.5	   570.0	   571.0	          18536	     537.40	     516.50	           	           	           	           	           	           	
 2019/02/12	   567.5	   571.5	   551.0	   552.0	          16640	     544.90	     522.65	           	           	           	           	           	           	
 2019/02/13	   551.0	   555.0	   539.0	   543.5	          14192	     547.80	     527.80	           	           	           	           	           	           	
 2019/02/14	   545.0	   549.5	   533.5	   547.0	          16772	     551.90	     533.00	           	           	           	           	           	           	
 2019/02/15	   547.5	   550.0	   538.0	   544.5	           9306	     551.60	     537.90	           	           	           	           	           	           	
 2019/02/18	   545.5	   563.0	   545.5	   554.5	          21300	     548.30	     542.85	           	           	           	           	           	           	
 2019/02/19	   555.5	   570.0	   553.0	   566.0	          24478	     551.10	     548.00	     521.28	           	           	           	           	           	
 2019/02/20	   566.0	   570.0	   550.5	   562.0	          35486	     554.80	     551.30	     525.47	           	           	           	           	           	
 2019/02/21	   563.0	   568.0	   554.5	   558.0	          22224	     557.00	     554.45	     529.33	           	           	           	           	           	
 2019/02/22	   556.5	   560.0	   547.0	   560.0	          22184	     560.10	     555.85	     532.47	           	           	           	           	           	
 2019/02/25	   561.0	   562.0	   546.0	   547.0	          21192	     558.60	     553.45	     534.97	           	           	           	           	           	
 2019/02/26	   549.0	   549.0	   534.5	   539.5	          27910	     553.30	     552.20	     537.42	           	           	           	           	           	
 2019/02/27	   539.5	   543.5	   532.0	   534.5	          17512	     547.80	     551.30	     539.55	           	           	           	           	           	
 2019/02/28	   535.5	   545.0	   535.5	   543.5	          13024	     544.90	     550.95	     541.97	           	           	           	           	           	
 2019/03/01	   544.0	   558.0	   543.5	   558.0	          15452	     544.50	     552.30	     545.10	           	           	           	           	           	
 2019/03/04	   560.0	   568.5	   557.5	   559.0	          29374	     546.90	     552.75	     547.80	           	           	           	           	           	
 2019/03/05	   558.0	   560.0	   548.0	   552.5	          17544	     549.50	     551.40	     549.70	           	           	           	           	           	
 2019/03/06	   552.5	   557.0	   542.5	   542.5	          21648	     551.10	     549.45	     550.38	           	           	           	           	           	
 2019/03/07	   543.0	   559.0	   541.5	   556.5	          20742	     553.70	     549.30	     551.88	           	           	           	           	           	
 2019/03/08	   558.0	   558.5	   546.0	   546.5	          15632	     551.40	     547.95	     551.90	           	           	           	           	           	
 2019/03/11	   545.0	   545.0	   530.0	   533.0	          30642	     546.20	     546.55	     550.00	           	           	           	           	           	
 2019/03/12	   532.0	   544.0	   532.0	   543.5	          17758	     544.40	     546.95	     549.58	           	           	           	           	           	
 2019/03/13	   544.5	   546.0	   536.0	   536.0	          15912	     543.10	     547.10	     549.20	           	           	           	           	           	
 2019/03/14	   536.5	   550.0	   535.0	   549.5	          22718	     541.70	     547.70	     549.33	           	           	           	           	           	
 2019/03/15	   549.5	   549.5	   540.0	   546.5	          24728	     541.70	     546.55	     549.42	           	           	           	           	           	
 2019/03/18	   546.0	   566.0	   544.0	   560.0	          42798	     547.10	     546.65	     549.70	           	           	           	           	           	
 2019/03/19	   559.5	   574.0	   558.5	   561.0	          45664	     550.60	     547.50	     549.45	           	           	           	           	           	
 2019/03/20	   561.5	   567.0	   532.5	   532.5	          60468	     549.90	     546.50	     547.97	           	           	           	           	           	
 2019/03/21	   534.0	   536.5	   524.0	   529.5	          88414	     545.90	     543.80	     546.55	           	           	           	           	           	
 2019/03/22	   529.0	   534.0	   528.0	   534.0	          30738	     543.40	     542.55	     545.25	           	           	           	           	           	
 2019/03/25	   535.0	   537.5	   529.5	   530.0	          20506	     537.40	     542.25	     544.40	           	           	           	           	           	
 2019/03/26	   530.0	   535.0	   526.5	   526.5	          27592	     530.50	     540.55	     543.75	           	           	           	           	           	
 2019/03/27	   527.5	   533.5	   527.5	   531.5	          19568	     530.30	     540.10	     543.60	           	           	           	           	           	
 2019/03/28	   531.5	   535.0	   527.5	   529.5	          31584	     530.30	     538.10	     542.90	           	           	           	           	           	
 2019/03/29	   532.0	   555.0	   524.5	   553.0	          52844	     534.10	     538.75	     542.65	           	           	           	           	           	
 2019/04/01	   551.5	   567.5	   546.5	   565.5	          38242	     541.20	     539.30	     542.97	           	           	           	           	           	
 2019/04/02	   565.0	   575.0	   558.0	   571.0	          47644	     550.10	     540.30	     543.90	           	           	           	           	           	
 2019/04/03	   571.0	   594.0	   570.0	   585.0	          57448	     560.80	     545.55	     546.03	           	           	           	           	           	
 2019/04/04	   585.0	   590.0	   575.0	   580.0	          69574	     570.90	     550.60	     547.20	           	           	           	           	           	
 2019/04/08	   583.0	   607.5	   581.0	   601.0	          54820	     580.50	     557.30	     549.92	           	           	           	           	           	
 2019/04/09	   602.0	   611.0	   592.5	   597.5	          66858	     586.90	     564.05	     553.15	           	           	           	           	           	
 2019/04/10	   596.0	   602.0	   592.5	   600.0	          45276	     592.70	     571.40	     555.97	           	           	           	           	           	
 2019/04/11	   600.5	   606.5	   590.5	   604.5	          52384	     596.60	     578.70	     559.40	           	           	           	           	           	
 2019/04/12	   605.5	   613.0	   593.5	   603.0	          70552	     601.20	     586.05	     562.08	           	           	           	           	           	
 2019/04/15	   605.0	   614.0	   596.5	   601.5	          63346	     601.30	     590.90	     564.83	           	           	           	           	           	
 2019/04/16	   600.0	   606.0	   583.0	   584.0	          42678	     598.60	     592.75	     566.03	           	           	           	           	           	
 2019/04/17	   585.5	   587.5	   570.0	   574.0	          65666	     593.40	     593.05	     566.67	     545.80	           	           	           	           	
