                  焦炭2001 (J2001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	
 2019/01/16	  1954.0	  1954.0	  1886.5	  1928.5	            332	           	           	           	           	           	           	           	           	
 2019/01/17	  1928.5	  1928.5	  1905.5	  1910.0	            208	           	           	           	           	           	           	           	           	
 2019/01/18	  1903.0	  1932.0	  1900.0	  1924.5	            274	           	           	           	           	           	           	           	           	
 2019/01/21	  1937.0	  1937.0	  1908.0	  1909.0	            298	           	           	           	           	           	           	           	           	
 2019/01/22	  1903.0	  1935.0	  1900.0	  1903.0	            336	    1915.00	           	           	           	           	           	           	           	
 2019/01/23	  1910.0	  1926.0	  1910.0	  1922.0	            172	    1913.70	           	           	           	           	           	           	           	
 2019/01/24	  1927.0	  1932.0	  1910.5	  1921.0	            162	    1915.90	           	           	           	           	           	           	           	
 2019/01/25	  1921.0	  1934.5	  1915.0	  1915.0	            126	    1914.00	           	           	           	           	           	           	           	
 2019/01/28	  1917.0	  1953.0	  1911.0	  1915.0	            310	    1915.20	           	           	           	           	           	           	           	
 2019/01/29	  1916.0	  1921.5	  1903.0	  1908.0	            266	    1916.20	    1915.60	           	           	           	           	           	           	
 2019/01/30	  1909.5	  1940.0	  1906.0	  1908.0	            346	    1913.40	    1913.55	           	           	           	           	           	           	
 2019/01/31	  1908.0	  1940.0	  1900.0	  1934.0	            246	    1916.00	    1915.95	           	           	           	           	           	           	
 2019/02/01	  1938.0	  1965.0	  1921.0	  1965.0	            262	    1926.00	    1920.00	           	           	           	           	           	           	
 2019/02/11	  1980.0	  2000.0	  1950.0	  1955.0	            306	    1934.00	    1924.60	           	           	           	           	           	           	
 2019/02/12	  1958.0	  1980.0	  1956.0	  1965.0	            250	    1945.40	    1930.80	           	           	           	           	           	           	
 2019/02/13	  1975.0	  1975.0	  1906.0	  1934.5	            422	    1950.70	    1932.05	           	           	           	           	           	           	
 2019/02/14	  1936.0	  1946.0	  1920.0	  1934.5	            288	    1950.80	    1933.40	           	           	           	           	           	           	
 2019/02/15	  1934.5	  1934.5	  1902.0	  1908.0	            444	    1939.40	    1932.70	           	           	           	           	           	           	
 2019/02/18	  1918.0	  1948.5	  1918.0	  1934.5	            434	    1935.30	    1934.65	           	           	           	           	           	           	
 2019/02/19	  1929.5	  1946.5	  1927.0	  1943.5	            272	    1931.00	    1938.20	    1926.90	           	           	           	           	           	
 2019/02/20	  1946.5	  1962.0	  1930.0	  1961.0	            278	    1936.30	    1943.50	    1928.53	           	           	           	           	           	
 2019/02/21	  1973.0	  1983.0	  1964.5	  1973.5	            358	    1944.10	    1947.45	    1931.70	           	           	           	           	           	
 2019/02/22	  1975.0	  2010.0	  1974.5	  2010.0	            316	    1964.50	    1951.95	    1935.97	           	           	           	           	           	
 2019/02/25	  2025.0	  2043.0	  1991.0	  1995.0	            578	    1976.60	    1955.95	    1940.28	           	           	           	           	           	
 2019/02/26	  1997.0	  2000.5	  1974.0	  1995.5	            378	    1987.00	    1959.00	    1944.90	           	           	           	           	           	
 2019/02/27	  1990.0	  2003.5	  1978.0	  1989.0	            346	    1992.60	    1964.45	    1948.25	           	           	           	           	           	
 2019/02/28	  1990.0	  1998.5	  1976.0	  1987.5	            488	    1995.40	    1969.75	    1951.57	           	           	           	           	           	
 2019/03/01	  1987.5	  2023.0	  1984.0	  2023.0	            374	    1998.00	    1981.25	    1956.97	           	           	           	           	           	
 2019/03/04	  2018.5	  2031.0	  1980.0	  1986.0	            528	    1996.20	    1986.40	    1960.53	           	           	           	           	           	
 2019/03/05	  1989.0	  1989.0	  1956.0	  1973.0	            562	    1991.70	    1989.35	    1963.78	           	           	           	           	           	
 2019/03/06	  1971.0	  1976.5	  1952.0	  1952.0	            694	    1984.30	    1988.45	    1965.97	           	           	           	           	           	
 2019/03/07	  1953.0	  1980.0	  1947.5	  1970.0	            476	    1980.80	    1988.10	    1967.78	           	           	           	           	           	
 2019/03/08	  1973.0	  1973.0	  1923.0	  1923.0	           1250	    1960.80	    1979.40	    1965.68	           	           	           	           	           	
 2019/03/11	  1921.0	  1921.0	  1860.0	  1861.5	           2836	    1935.90	    1966.05	    1961.00	           	           	           	           	           	
 2019/03/12	  1867.0	  1904.0	  1863.5	  1900.0	           1090	    1921.30	    1956.50	    1957.75	           	           	           	           	           	
 2019/03/13	  1905.0	  1908.0	  1878.0	  1889.0	            852	    1908.70	    1946.50	    1955.47	           	           	           	           	           	
 2019/03/14	  1887.0	  1916.5	  1873.0	  1904.5	           1272	    1895.60	    1938.20	    1953.97	           	           	           	           	           	
 2019/03/15	  1910.0	  1920.0	  1870.0	  1890.5	            928	    1889.10	    1924.95	    1953.10	           	           	           	           	           	
 2019/03/18	  1883.0	  1890.5	  1868.0	  1869.0	            888	    1890.60	    1913.25	    1949.82	           	           	           	           	           	
 2019/03/19	  1866.0	  1883.0	  1860.0	  1868.0	           1054	    1884.20	    1902.75	    1946.05	           	           	           	           	           	
 2019/03/20	  1878.0	  1880.0	  1865.0	  1871.5	            692	    1880.70	    1894.70	    1941.57	           	           	           	           	           	
 2019/03/21	  1875.5	  1896.0	  1873.5	  1879.0	            696	    1875.60	    1885.60	    1936.85	           	           	           	           	           	
 2019/03/22	  1889.5	  1905.0	  1870.5	  1903.5	            962	    1878.20	    1883.65	    1931.53	           	           	           	           	           	
 2019/03/25	  1900.0	  1918.5	  1899.5	  1902.0	           1030	    1884.80	    1887.70	    1926.88	           	           	           	           	           	
 2019/03/26	  1901.0	  1901.0	  1884.0	  1888.0	            728	    1888.80	    1886.50	    1921.50	           	           	           	           	           	
 2019/03/27	  1885.0	  1896.0	  1868.5	  1869.0	            634	    1888.30	    1884.50	    1915.50	           	           	           	           	           	
 2019/03/28	  1876.0	  1888.0	  1866.0	  1873.5	            594	    1887.20	    1881.40	    1909.80	           	           	           	           	           	
 2019/03/29	  1875.0	  1905.0	  1866.0	  1894.0	            888	    1885.30	    1881.75	    1903.35	           	           	           	           	           	
 2019/04/01	  1898.5	  1937.0	  1892.5	  1937.0	           1442	    1892.30	    1888.55	    1900.90	           	           	           	           	           	
 2019/04/02	  1934.0	  1957.0	  1925.0	  1937.5	           1364	    1902.20	    1895.50	    1899.13	           	           	           	           	           	
 2019/04/03	  1935.5	  1968.0	  1932.0	  1959.0	           1240	    1920.20	    1904.25	    1899.47	           	           	           	           	           	
 2019/04/04	  1960.5	  1979.0	  1954.5	  1978.0	           1164	    1941.10	    1914.15	    1899.88	           	           	           	           	           	
 2019/04/08	  1978.0	  2027.0	  1978.0	  2017.0	           1042	    1965.70	    1925.50	    1904.57	           	           	           	           	           	
 2019/04/09	  2018.5	  2026.0	  1990.0	  1994.5	           2434	    1977.20	    1934.75	    1911.22	           	           	           	           	           	
 2019/04/10	  1983.0	  1995.0	  1966.0	  1971.0	           2168	    1983.90	    1943.05	    1914.78	           	           	           	           	           	
 2019/04/11	  1980.0	  1980.0	  1950.0	  1972.0	           1502	    1986.50	    1953.35	    1918.93	           	           	           	           	           	
 2019/04/12	  1975.0	  1994.0	  1947.0	  1991.5	           2386	    1989.20	    1965.15	    1923.28	           	           	           	           	           	
 2019/04/15	  1999.0	  2029.5	  1988.0	  2010.0	           2412	    1987.80	    1976.75	    1929.25	           	           	           	           	           	
 2019/04/16	  2008.5	  2029.0	  1996.5	  2020.0	           1830	    1992.90	    1985.05	    1936.80	           	           	           	           	           	
 2019/04/17	  2020.0	  2022.0	  2003.5	  2008.0	           1542	    2000.30	    1992.10	    1943.80	    1938.92	           	           	           	           	
 2019/04/18	  2006.0	  2008.0	  1975.0	  1980.5	           2296	    2002.00	    1994.25	    1949.25	    1939.78	           	           	           	           	
 2019/04/19	  1981.0	  2017.0	  1976.5	  2013.5	           1890	    2006.40	    1997.80	    1955.97	    1941.51	           	           	           	           	
 2019/04/22	  2016.5	  2024.0	  1990.0	  1996.0	           1740	    2003.60	    1995.70	    1960.60	    1942.70	           	           	           	           	
 2019/04/23	  1997.5	  2013.0	  1990.5	  2007.5	           2210	    2001.10	    1997.00	    1965.88	    1944.34	           	           	           	           	
 2019/04/24	  2005.0	  2009.0	  1989.0	  2006.5	           1526	    2000.80	    2000.55	    1971.80	    1946.07	           	           	           	           	
 2019/04/25	  1993.0	  2027.0	  1993.0	  1996.0	           2536	    2003.90	    2002.95	    1978.15	    1947.30	           	           	           	           	
 2019/04/26	  2000.0	  2010.0	  1970.0	  1977.5	           3462	    1996.70	    2001.55	    1983.35	    1948.24	           	           	           	           	
 2019/04/29	  1975.0	  2008.5	  1975.0	  2007.0	           2384	    1998.90	    2001.25	    1989.00	    1949.78	           	           	           	           	
 2019/04/30	  2003.0	  2012.5	  1990.0	  2010.0	           2036	    1999.40	    2000.25	    1992.65	    1951.36	           	           	           	           	
 2019/05/06	  2003.0	  2024.5	  1979.5	  2016.5	           3596	    2001.40	    2001.10	    1996.60	    1953.17	           	           	           	           	
 2019/05/07	  2020.0	  2071.5	  2012.0	  2056.5	           5164	    2013.50	    2008.70	    2001.47	    1955.64	           	           	           	           	
 2019/05/08	  2051.5	  2094.5	  2043.5	  2079.5	           8550	    2033.90	    2015.30	    2006.55	    1958.07	           	           	           	           	
 2019/05/09	  2088.0	  2090.0	  2064.0	  2071.5	           5296	    2046.80	    2022.85	    2009.28	    1959.84	           	           	           	           	
 2019/05/10	  2063.0	  2085.0	  2063.0	  2082.5	           5570	    2061.30	    2030.35	    2013.68	    1961.97	           	           	           	           	
 2019/05/13	  2092.5	  2092.5	  2058.5	  2061.5	           6574	    2070.30	    2035.85	    2018.20	    1963.57	           	           	           	           	
 2019/05/14	  2055.0	  2061.5	  2020.0	  2027.5	           5908	    2064.50	    2039.00	    2020.97	    1965.13	           	           	           	           	
 2019/05/15	  2025.0	  2067.5	  2023.0	  2062.5	           6778	    2061.10	    2047.50	    2024.53	    1967.26	           	           	           	           	
 2019/05/16	  2052.0	  2080.0	  2052.0	  2066.0	           4434	    2060.00	    2053.40	    2027.32	    1969.89	           	           	           	           	
 2019/05/17	  2068.0	  2099.5	  2056.5	  2083.5	           5840	    2060.20	    2060.75	    2030.50	    1972.38	           	           	           	           	
 2019/05/20	  2075.0	  2099.5	  2057.5	  2099.0	           6196	    2067.70	    2069.00	    2035.05	    1974.97	           	           	           	           	
 2019/05/21	  2103.0	  2179.5	  2096.0	  2168.0	          14590	    2095.80	    2080.15	    2044.43	    1978.42	           	           	           	           	
 2019/05/22	  2168.0	  2237.5	  2168.0	  2186.0	          13650	    2120.50	    2090.80	    2053.05	    1981.96	           	           	           	           	
 2019/05/23	  2190.0	  2193.5	  2144.0	  2172.0	          12078	    2141.70	    2100.85	    2061.85	    1984.66	           	           	           	           	
 2019/05/24	  2169.0	  2240.0	  2158.0	  2237.0	          14674	    2172.40	    2116.30	    2073.32	    1988.69	           	           	           	           	
 2019/05/27	  2246.0	  2278.0	  2186.0	  2193.0	          18060	    2191.20	    2129.45	    2082.65	    1991.98	           	           	           	           	
 2019/05/28	  2185.0	  2202.5	  2160.0	  2173.0	          17186	    2192.20	    2144.00	    2091.50	    1995.05	           	           	           	           	
 2019/05/29	  2168.0	  2186.0	  2150.0	  2182.0	          16506	    2191.40	    2155.95	    2101.73	    1998.29	           	           	           	           	
 2019/05/30	  2182.0	  2211.5	  2157.0	  2167.5	          15222	    2190.50	    2166.10	    2109.75	    2000.70	           	           	           	           	
 2019/05/31	  2162.0	  2172.5	  2092.5	  2094.5	          20026	    2162.00	    2167.20	    2113.98	    2002.51	           	           	           	           	
 2019/06/03	  2092.0	  2096.5	  2042.0	  2051.5	          21178	    2133.70	    2162.45	    2115.73	    2003.82	           	           	           	           	
 2019/06/04	  2056.0	  2086.0	  2045.0	  2082.0	          11934	    2115.50	    2153.85	    2117.00	    2005.98	           	           	           	           	
 2019/06/05	  2068.0	  2080.5	  2052.5	  2067.0	           8078	    2092.50	    2141.95	    2116.38	    2007.60	           	           	           	           	
 2019/06/06	  2060.0	  2095.0	  2027.5	  2090.5	          19390	    2077.10	    2133.80	    2117.32	    2010.39	           	           	           	           	
 2019/06/10	  2080.0	  2093.0	  2057.0	  2065.0	           7598	    2071.20	    2116.60	    2116.45	    2013.78	           	           	           	           	
 2019/06/11	  2079.5	  2140.5	  2061.0	  2140.5	          14974	    2089.00	    2111.35	    2120.40	    2017.79	           	           	           	           	
 2019/06/12	  2142.0	  2142.0	  2060.0	  2062.0	          16704	    2085.00	    2100.25	    2122.13	    2020.68	           	           	           	           	
 2019/06/13	  2073.0	  2105.5	  2064.0	  2100.0	          13112	    2091.60	    2092.05	    2124.00	    2023.93	           	           	           	           	
 2019/06/14	  2101.0	  2114.5	  2061.0	  2066.0	          14148	    2086.70	    2081.90	    2124.00	    2026.86	           	           	           	           	
 2019/06/17	  2070.0	  2074.5	  2024.0	  2030.0	          18488	    2079.70	    2075.45	    2121.32	    2029.54	           	           	           	           	
 2019/06/18	  2031.0	  2032.0	  2003.5	  2024.0	          11796	    2056.40	    2072.70	    2117.57	    2032.14	           	           	           	           	
 2019/06/19	  2025.5	  2056.5	  2015.0	  2038.0	          15486	    2051.60	    2068.30	    2111.07	    2034.92	           	           	           	           	
 2019/06/20	  2035.0	  2056.0	  2018.0	  2047.0	          14544	    2041.00	    2066.30	    2104.13	    2037.72	           	           	           	           	
 2019/06/21	  2040.0	  2066.0	  2025.0	  2057.0	          17922	    2039.20	    2062.95	    2098.38	    2040.28	           	           	           	           	
 2019/06/24	  2059.0	  2097.0	  2036.0	  2066.0	          23212	    2046.40	    2063.05	    2089.82	    2043.01	           	           	           	           	
 2019/06/25	  2065.0	  2091.0	  2052.5	  2089.0	          25636	    2059.40	    2057.90	    2084.63	    2046.36	           	           	           	           	
 2019/06/26	  2090.0	  2127.0	  2084.0	  2117.5	          37472	    2075.30	    2063.45	    2081.85	    2050.50	           	           	           	           	
 2019/06/27	  2118.0	  2140.0	  2079.0	  2081.0	          39776	    2082.10	    2061.55	    2076.80	    2053.96	           	           	           	           	
 2019/06/28	  2080.0	  2106.5	  2074.5	  2083.0	          30200	    2087.30	    2063.25	    2072.57	    2057.11	           	           	           	           	
 2019/07/01	  2087.5	  2153.5	  2079.0	  2145.5	          47894	    2103.20	    2074.80	    2075.13	    2060.58	           	           	           	           	
 2019/07/02	  2139.0	  2140.0	  2110.0	  2128.5	          27962	    2111.10	    2085.25	    2078.98	    2063.77	           	           	           	           	
 2019/07/03	  2130.0	  2152.5	  2116.0	  2133.5	          40590	    2114.30	    2094.80	    2081.55	    2066.68	           	           	           	           	
 2019/07/04	  2130.0	  2190.5	  2123.0	  2182.0	          67824	    2134.50	    2108.30	    2087.30	    2070.07	           	           	           	           	
 2019/07/05	  2180.0	  2197.0	  2170.0	  2186.5	          55200	    2155.20	    2121.25	    2092.10	    2072.90	           	           	           	           	
 2019/07/08	  2180.0	  2196.5	  2151.0	  2169.5	          42906	    2160.00	    2131.60	    2097.32	    2075.82	           	           	           	           	
 2019/07/09	  2165.5	  2194.0	  2156.0	  2159.0	          41328	    2166.10	    2138.60	    2098.25	    2078.95	           	           	           	           	
 2019/07/10	  2163.0	  2163.0	  2112.0	  2129.0	          57370	    2165.20	    2139.75	    2101.60	    2081.57	           	           	           	           	
 2019/07/11	  2130.0	  2150.5	  2120.5	  2134.5	          43110	    2155.70	    2145.10	    2103.32	    2083.95	           	           	           	           	
 2019/07/12	  2137.0	  2179.0	  2126.0	  2152.5	          45500	    2148.90	    2152.05	    2107.65	    2086.32	           	           	           	           	
 2019/07/15	  2154.0	  2194.5	  2142.0	  2192.5	          56198	    2153.50	    2156.75	    2115.77	    2089.20	           	           	           	           	
 2019/07/16	  2193.5	  2214.0	  2183.5	  2199.5	          44060	    2161.60	    2163.85	    2124.55	    2092.39	           	           	           	           	
 2019/07/17	  2205.0	  2243.5	  2197.0	  2236.0	          74850	    2183.00	    2174.10	    2134.45	    2096.65	           	           	           	           	
 2019/07/18	  2233.0	  2241.5	  2218.0	  2225.0	          48424	    2201.10	    2178.40	    2143.35	    2100.18	           	           	           	           	
