                  焦煤2001 (JM2001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	
 2019/01/16	  1259.0	  1280.5	  1259.0	  1280.5	             88	           	           	           	           	           	           	           	           	
 2019/01/17	  1280.5	  1282.5	  1276.5	  1281.0	            124	           	           	           	           	           	           	           	           	
 2019/01/18	  1281.0	  1291.0	  1281.0	  1289.5	             54	           	           	           	           	           	           	           	           	
 2019/01/21	  1293.5	  1294.5	  1268.5	  1273.0	            106	           	           	           	           	           	           	           	           	
 2019/01/22	  1266.0	  1283.0	  1266.0	  1268.0	             58	    1278.40	           	           	           	           	           	           	           	
 2019/01/23	  1272.0	  1286.0	  1266.0	  1278.5	             74	    1278.00	           	           	           	           	           	           	           	
 2019/01/24	  1286.0	  1286.0	  1275.0	  1275.0	             28	    1276.80	           	           	           	           	           	           	           	
 2019/01/25	  1271.0	  1271.0	  1269.5	  1270.0	             30	    1272.90	           	           	           	           	           	           	           	
 2019/01/28	  1282.0	  1287.5	  1281.0	  1287.5	             60	    1275.80	           	           	           	           	           	           	           	
 2019/01/29	  1272.5	  1275.5	  1265.0	  1268.0	             96	    1275.80	    1277.10	           	           	           	           	           	           	
 2019/01/30	  1270.5	  1282.5	  1268.5	  1269.0	             60	    1273.90	    1275.95	           	           	           	           	           	           	
 2019/01/31	  1267.0	  1324.0	  1266.0	  1319.0	            186	    1282.70	    1279.75	           	           	           	           	           	           	
 2019/02/01	  1322.0	  1333.0	  1314.0	  1328.0	             52	    1294.30	    1283.60	           	           	           	           	           	           	
 2019/02/11	  1355.0	  1355.0	  1321.5	  1330.0	             34	    1302.80	    1289.30	           	           	           	           	           	           	
 2019/02/12	  1337.0	  1346.5	  1333.0	  1338.0	             50	    1316.80	    1296.30	           	           	           	           	           	           	
 2019/02/13	  1341.0	  1347.0	  1318.0	  1323.5	             70	    1327.70	    1300.80	           	           	           	           	           	           	
 2019/02/14	  1325.5	  1332.5	  1314.5	  1319.0	             74	    1327.70	    1305.20	           	           	           	           	           	           	
 2019/02/15	  1315.5	  1329.0	  1314.0	  1322.0	            118	    1326.50	    1310.40	           	           	           	           	           	           	
 2019/02/18	  1323.0	  1323.0	  1305.0	  1314.5	            108	    1323.40	    1313.10	           	           	           	           	           	           	
