                  螺纹2001 (RB2001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	
 2019/01/16	    3200	    3220	    3195	    3205	          13588	           	           	           	           	           	           	           	           	
 2019/01/17	    3209	    3236	    3201	    3225	           8398	           	           	           	           	           	           	           	           	
 2019/01/18	    3225	    3298	    3203	    3298	          12568	           	           	           	           	           	           	           	           	
 2019/01/21	    3300	    3328	    3295	    3319	          13696	           	           	           	           	           	           	           	           	
 2019/01/22	    3319	    3343	    3294	    3295	          18050	    3268.40	           	           	           	           	           	           	           	
 2019/01/23	    3298	    3314	    3275	    3281	          10880	    3283.60	           	           	           	           	           	           	           	
 2019/01/24	    3285	    3309	    3284	    3306	          12132	    3299.80	           	           	           	           	           	           	           	
 2019/01/25	    3305	    3349	    3302	    3321	          14058	    3304.40	           	           	           	           	           	           	           	
 2019/01/28	    3322	    3345	    3307	    3308	          12384	    3302.20	           	           	           	           	           	           	           	
 2019/01/29	    3309	    3318	    3285	    3297	          10296	    3302.60	    3285.50	           	           	           	           	           	           	
 2019/01/30	    3300	    3362	    3292	    3305	          24516	    3307.40	    3295.50	           	           	           	           	           	           	
 2019/01/31	    3315	    3332	    3300	    3323	          12966	    3310.80	    3305.30	           	           	           	           	           	           	
 2019/02/01	    3325	    3340	    3316	    3338	          15642	    3314.20	    3309.30	           	           	           	           	           	           	
 2019/02/11	    3389	    3436	    3371	    3375	          28868	    3327.60	    3314.90	           	           	           	           	           	           	
 2019/02/12	    3381	    3398	    3358	    3366	          24672	    3341.40	    3322.00	           	           	           	           	           	           	
 2019/02/13	    3368	    3381	    3320	    3325	          26982	    3345.40	    3326.40	           	           	           	           	           	           	
 2019/02/14	    3328	    3338	    3300	    3305	          30440	    3341.80	    3326.30	           	           	           	           	           	           	
 2019/02/15	    3303	    3312	    3234	    3244	          40178	    3323.00	    3318.60	           	           	           	           	           	           	
 2019/02/18	    3250	    3309	    3250	    3295	          38256	    3307.00	    3317.30	           	           	           	           	           	           	
