                  橡胶2001 (RU2001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	
 2019/01/16	   12410	   12990	   12410	   12920	          10334	           	           	           	           	           	           	           	           	
 2019/01/17	   12900	   12945	   12850	   12850	           3010	           	           	           	           	           	           	           	           	
 2019/01/18	   12820	   13010	   12810	   12950	           3390	           	           	           	           	           	           	           	           	
 2019/01/21	   12965	   13190	   12960	   13105	           4216	           	           	           	           	           	           	           	           	
 2019/01/22	   13115	   13170	   12890	   12915	           3228	   12948.00	           	           	           	           	           	           	           	
 2019/01/23	   12900	   12970	   12900	   12940	            994	   12952.00	           	           	           	           	           	           	           	
 2019/01/24	   12905	   12990	   12875	   12945	           1096	   12971.00	           	           	           	           	           	           	           	
 2019/01/25	   12930	   13045	   12930	   12940	            954	   12969.00	           	           	           	           	           	           	           	
 2019/01/28	   12955	   13060	   12895	   12895	           2310	   12927.00	           	           	           	           	           	           	           	
 2019/01/29	   12880	   12920	   12760	   12790	           2624	   12902.00	   12925.00	           	           	           	           	           	           	
 2019/01/30	   12810	   12860	   12720	   12720	           1266	   12858.00	   12905.00	           	           	           	           	           	           	
 2019/01/31	   12740	   12750	   12590	   12685	           2316	   12806.00	   12888.50	           	           	           	           	           	           	
 2019/02/01	   12720	   12805	   12690	   12800	           2726	   12778.00	   12873.50	           	           	           	           	           	           	
 2019/02/11	   12700	   12790	   12560	   12605	           3068	   12720.00	   12823.50	           	           	           	           	           	           	
 2019/02/12	   12610	   12975	   12610	   12915	           3386	   12745.00	   12823.50	           	           	           	           	           	           	
 2019/02/13	   12890	   12960	   12815	   12955	           2306	   12792.00	   12825.00	           	           	           	           	           	           	
 2019/02/14	   12950	   13165	   12920	   13095	           4378	   12874.00	   12840.00	           	           	           	           	           	           	
 2019/02/15	   13120	   13120	   12850	   12950	           2830	   12904.00	   12841.00	           	           	           	           	           	           	
 2019/02/18	   12980	   13130	   12945	   13110	           4048	   13005.00	   12862.50	           	           	           	           	           	           	
 2019/02/19	   13135	   13690	   13135	   13650	           9630	   13152.00	   12948.50	   12936.75	           	           	           	           	           	
 2019/02/20	   13280	   13840	   13280	   13805	          11238	   13322.00	   13057.00	   12981.00	           	           	           	           	           	
 2019/02/21	   13800	   13900	   13580	   13635	           7412	   13430.00	   13152.00	   13020.25	           	           	           	           	           	
 2019/02/22	   13620	   13845	   13580	   13845	           8912	   13609.00	   13256.50	   13065.00	           	           	           	           	           	
 2019/02/25	   14005	   14280	   13890	   13920	          22820	   13771.00	   13388.00	   13105.75	           	           	           	           	           	
 2019/02/26	   13870	   13990	   13735	   13855	          11242	   13812.00	   13482.00	   13152.75	           	           	           	           	           	
 2019/02/27	   13910	   14010	   13790	   13875	           7758	   13826.00	   13574.00	   13199.50	           	           	           	           	           	
 2019/02/28	   13905	   13995	   13870	   13950	           5938	   13889.00	   13659.50	   13249.75	           	           	           	           	           	
 2019/03/01	   13955	   14165	   13895	   14150	           9602	   13950.00	   13779.50	   13310.25	           	           	           	           	           	
 2019/03/04	   14170	   14320	   13910	   13940	          13090	   13954.00	   13862.50	   13362.50	           	           	           	           	           	
 2019/03/05	   13930	   13950	   13765	   13875	           6320	   13958.00	   13885.00	   13416.75	           	           	           	           	           	
 2019/03/06	   13895	   13970	   13810	   13840	           5078	   13951.00	   13888.50	   13472.75	           	           	           	           	           	
 2019/03/07	   13845	   13890	   13580	   13655	           6740	   13892.00	   13890.50	   13521.25	           	           	           	           	           	
 2019/03/08	   13630	   13715	   13425	   13485	           9740	   13759.00	   13854.50	   13555.50	           	           	           	           	           	
 2019/03/11	   13420	   13575	   13420	   13520	           5462	   13675.00	   13814.50	   13601.25	           	           	           	           	           	
 2019/03/12	   13510	   13700	   13505	   13570	           5014	   13614.00	   13786.00	   13634.00	           	           	           	           	           	
 2019/03/13	   13595	   13650	   13340	   13410	           8448	   13528.00	   13739.50	   13656.75	           	           	           	           	           	
 2019/03/14	   13425	   13470	   13390	   13425	           4262	   13482.00	   13687.00	   13673.25	           	           	           	           	           	
 2019/03/15	   13420	   13490	   13195	   13245	           7092	   13434.00	   13596.50	   13688.00	           	           	           	           	           	
 2019/03/18	   13250	   13360	   13175	   13320	           5402	   13394.00	   13534.50	   13698.50	           	           	           	           	           	
 2019/03/19	   13340	   13465	   13330	   13395	           6032	   13359.00	   13486.50	   13685.75	           	           	           	           	           	
 2019/03/20	   13395	   13430	   13260	   13315	           6374	   13340.00	   13434.00	   13661.25	           	           	           	           	           	
 2019/03/21	   13340	   13360	   13290	   13310	           4522	   13317.00	   13399.50	   13645.00	           	           	           	           	           	
 2019/03/22	   13280	   13300	   13190	   13260	           4014	   13320.00	   13377.00	   13615.75	           	           	           	           	           	
 2019/03/25	   13245	   13245	   12940	   12985	          11450	   13253.00	   13323.50	   13569.00	           	           	           	           	           	
 2019/03/26	   12985	   13035	   12930	   12980	           5450	   13170.00	   13264.50	   13525.25	           	           	           	           	           	
 2019/03/27	   13005	   13020	   12835	   12835	           9044	   13074.00	   13207.00	   13473.25	           	           	           	           	           	
 2019/03/28	   12815	   12880	   12650	   12650	           9694	   12942.00	   13129.50	   13408.25	           	           	           	           	           	
 2019/03/29	   12650	   12875	   12555	   12745	          12556	   12839.00	   13079.50	   13338.00	           	           	           	           	           	
 2019/04/01	   12760	   12990	   12760	   12965	          13486	   12835.00	   13044.00	   13289.25	           	           	           	           	           	
 2019/04/02	   12950	   12990	   12865	   12960	          13044	   12831.00	   13000.50	   13243.50	           	           	           	           	           	
 2019/04/03	   12990	   13085	   12955	   13025	          12484	   12869.00	   12971.50	   13202.75	           	           	           	           	           	
 2019/04/04	   13085	   13145	   12985	   13055	           7486	   12950.00	   12946.00	   13172.75	           	           	           	           	           	
 2019/04/08	   13100	   13165	   13020	   13050	          11656	   13011.00	   12925.00	   13151.00	           	           	           	           	           	
 2019/04/09	   13060	   13080	   12810	   12925	           9602	   13003.00	   12919.00	   13121.25	           	           	           	           	           	
 2019/04/10	   12935	   13220	   12875	   13150	          15860	   13041.00	   12936.00	   13100.25	           	           	           	           	           	
 2019/04/11	   13150	   13235	   13055	   13085	          13588	   13053.00	   12961.00	   13084.00	           	           	           	           	           	
 2019/04/12	   13085	   13125	   12975	   13095	          16568	   13061.00	   13005.50	   13067.50	           	           	           	           	           	
 2019/04/15	   13150	   13250	   12985	   13015	          15256	   13054.00	   13032.50	   13056.00	           	           	           	           	           	
 2019/04/16	   13060	   13070	   12740	   12860	          17854	   13041.00	   13022.00	   13033.00	           	           	           	           	           	
 2019/04/17	   12850	   12885	   12790	   12820	          10162	   12975.00	   13008.00	   13004.25	   13208.92	           	           	           	           	
 2019/04/18	   12800	   12840	   12495	   12550	          26408	   12868.00	   12960.50	   12966.00	   13202.75	           	           	           	           	
 2019/04/19	   12590	   12630	   12510	   12595	          12048	   12768.00	   12914.50	   12930.25	   13198.50	           	           	           	           	
 2019/04/22	   12600	   12730	   12590	   12620	          14694	   12689.00	   12871.50	   12898.25	   13193.00	           	           	           	           	
 2019/04/23	   12625	   12715	   12620	   12665	          10050	   12650.00	   12845.50	   12882.25	   13185.67	           	           	           	           	
 2019/04/24	   12670	   12670	   12525	   12590	          15424	   12604.00	   12789.50	   12862.75	   13180.25	           	           	           	           	
 2019/04/25	   12565	   12685	   12450	   12620	          21470	   12618.00	   12743.00	   12852.00	   13174.92	           	           	           	           	
 2019/04/26	   12615	   12660	   12395	   12415	          23040	   12582.00	   12675.00	   12840.25	   13166.08	           	           	           	           	
 2019/04/29	   12420	   12470	   12360	   12385	          17822	   12535.00	   12612.00	   12822.25	   13156.83	           	           	           	           	
 2019/04/30	   12410	   12850	   12350	   12820	          36634	   12566.00	   12608.00	   12815.00	   13155.58	           	           	           	           	
 2019/05/06	   12700	   12810	   12630	   12780	          21690	   12604.00	   12604.00	   12806.00	   13155.42	           	           	           	           	
 2019/05/07	   12810	   13015	   12810	   12965	          25640	   12673.00	   12645.50	   12803.00	   13159.50	           	           	           	           	
 2019/05/08	   13015	   13140	   12780	   12850	          30404	   12760.00	   12671.00	   12792.75	   13162.25	           	           	           	           	
 2019/05/09	   12750	   12845	   12560	   12800	          43222	   12843.00	   12689.00	   12780.25	   13162.25	           	           	           	           	
 2019/05/10	   12815	   12935	   12680	   12770	          35370	   12833.00	   12699.50	   12772.50	   13165.00	           	           	           	           	
 2019/05/13	   12775	   12865	   12695	   12865	          22922	   12850.00	   12727.00	   12758.25	   13164.17	           	           	           	           	
 2019/05/14	   12880	   12980	   12510	   12510	          40470	   12759.00	   12716.00	   12729.50	   13156.75	           	           	           	           	
 2019/05/15	   12570	   12695	   12555	   12690	          16940	   12727.00	   12743.50	   12709.25	   13150.00	           	           	           	           	
 2019/05/16	   12700	   13200	   12695	   13190	          62986	   12805.00	   12824.00	   12718.00	   13154.00	           	           	           	           	
 2019/05/17	   13190	   13225	   13115	   13185	          27938	   12888.00	   12860.50	   12734.25	   13155.25	           	           	           	           	
 2019/05/20	   13185	   13350	   12930	   13025	          48536	   12920.00	   12885.00	   12744.50	   13144.83	           	           	           	           	
 2019/05/21	   13135	   13405	   13055	   13380	          38738	   13094.00	   12926.50	   12786.00	   13137.75	           	           	           	           	
 2019/05/22	   13400	   13430	   12800	   12895	          54778	   13135.00	   12931.00	   12801.00	   13125.42	           	           	           	           	
 2019/05/23	   12915	   12940	   12650	   12690	          37688	   13035.00	   12920.00	   12804.50	   13106.17	           	           	           	           	
 2019/05/24	   12690	   12820	   12605	   12780	          26926	   12954.00	   12921.00	   12810.25	   13087.17	           	           	           	           	
 2019/05/27	   12815	   12840	   12620	   12780	          31796	   12905.00	   12912.50	   12819.75	   13069.25	           	           	           	           	
 2019/05/28	   12880	   12950	   12780	   12925	          33526	   12814.00	   12954.00	   12835.00	   13053.42	           	           	           	           	
 2019/05/29	   12945	   13200	   12915	   13195	          51170	   12874.00	   13004.50	   12874.00	   13040.83	           	           	           	           	
 2019/05/30	   13190	   13220	   12950	   12995	          39074	   12935.00	   12985.00	   12904.50	   13021.58	           	           	           	           	
 2019/05/31	   12990	   13250	   12990	   13205	          36076	   13020.00	   12987.00	   12923.75	   13009.33	           	           	           	           	
 2019/06/03	   13175	   13240	   12785	   12850	          46242	   13034.00	   12969.50	   12927.25	   12992.25	           	           	           	           	
 2019/06/04	   12875	   12910	   12780	   12865	          25664	   13022.00	   12918.00	   12922.25	   12976.00	           	           	           	           	
 2019/06/05	   12880	   13075	   12835	   13060	          30202	   12995.00	   12934.50	   12932.75	   12966.08	           	           	           	           	
 2019/06/06	   13060	   13270	   12795	   13170	          62824	   13030.00	   12982.50	   12951.25	   12960.83	           	           	           	           	
 2019/06/10	   13225	   13400	   13145	   13235	          38072	   13036.00	   13028.00	   12974.50	   12956.08	           	           	           	           	
 2019/06/11	   13200	   13405	   13150	   13400	          42300	   13146.00	   13090.00	   13001.25	   12953.25	           	           	           	           	
 2019/06/12	   13395	   13470	   13080	   13120	          46690	   13197.00	   13109.50	   13031.75	   12948.42	           	           	           	           	
 2019/06/13	   13115	   13265	   13000	   13225	          44836	   13230.00	   13112.50	   13058.50	   12945.08	           	           	           	           	
 2019/06/14	   13250	   13260	   12900	   12925	          34988	   13181.00	   13105.50	   13045.25	   12939.75	           	           	           	           	
 2019/06/17	   12930	   12995	   12725	   12755	          35004	   13085.00	   13060.50	   13023.75	   12930.33	           	           	           	           	
 2019/06/18	   12770	   12890	   12710	   12855	          24638	   12976.00	   13061.00	   13015.25	   12921.33	           	           	           	           	
 2019/06/19	   12845	   12980	   12715	   12770	          43244	   12906.00	   13051.50	   12984.75	   12912.25	           	           	           	           	
 2019/06/20	   12770	   12830	   12655	   12785	          29428	   12818.00	   13024.00	   12979.25	   12903.50	           	           	           	           	
 2019/06/21	   12800	   12880	   12715	   12810	          34688	   12795.00	   12988.00	   12985.25	   12896.00	           	           	           	           	
 2019/06/24	   12760	   12840	   12610	   12685	          31452	   12781.00	   12933.00	   12980.50	   12891.00	           	           	           	           	
 2019/06/25	   12680	   12750	   12570	   12725	          29460	   12755.00	   12865.50	   12977.75	   12886.75	           	           	           	           	
 2019/06/26	   12735	   12790	   12690	   12695	          24024	   12740.00	   12823.00	   12966.25	   12884.42	           	           	           	           	
 2019/06/27	   12655	   12780	   12650	   12675	          23390	   12718.00	   12768.00	   12940.25	   12884.83	           	           	           	           	
 2019/06/28	   12670	   12690	   12325	   12335	          56040	   12623.00	   12709.00	   12907.25	   12878.00	           	           	           	           	
 2019/07/01	   12330	   12420	   12255	   12320	          59928	   12550.00	   12665.50	   12863.00	   12867.25	           	           	           	           	
 2019/07/02	   12295	   12325	   11920	   12175	          88542	   12440.00	   12597.50	   12829.25	   12854.17	           	           	           	           	
 2019/07/03	   12170	   12230	   11955	   11995	          44992	   12300.00	   12520.00	   12785.75	   12837.00	           	           	           	           	
 2019/07/04	   11950	   12145	   11950	   12095	          33266	   12184.00	   12451.00	   12737.50	   12821.00	           	           	           	           	
 2019/07/05	   12065	   12170	   12045	   12125	          32316	   12142.00	   12382.50	   12685.25	   12805.58	           	           	           	           	
 2019/07/08	   11930	   12065	   11765	   11790	          94762	   12036.00	   12293.00	   12613.00	   12786.67	           	           	           	           	
 2019/07/09	   11770	   11835	   11430	   11450	          86180	   11891.00	   12165.50	   12515.50	   12758.33	           	           	           	           	
 2019/07/10	   11470	   11635	   11470	   11600	          43422	   11812.00	   12056.00	   12439.50	   12733.58	           	           	           	           	
 2019/07/11	   11610	   11660	   11515	   11615	          41052	   11716.00	   11950.00	   12359.00	   12708.92	           	           	           	           	
 2019/07/12	   11595	   11620	   11435	   11460	          46754	   11583.00	   11862.50	   12285.75	   12683.00	           	           	           	           	
 2019/07/15	   11490	   11585	   11480	   11535	          35452	   11532.00	   11784.00	   12224.75	   12660.92	           	           	           	           	
 2019/07/16	   11535	   11555	   11355	   11395	          52364	   11521.00	   11706.00	   12151.75	   12637.17	           	           	           	           	
 2019/07/17	   11395	   11515	   11375	   11490	          40450	   11499.00	   11655.50	   12087.75	   12619.50	           	           	           	           	
 2019/07/18	   11505	   11610	   11400	   11580	          56918	   11492.00	   11604.00	   12027.50	   12602.58	           	           	           	           	
 2019/07/19	   11570	   11680	   11530	   11670	          59410	   11534.00	   11558.50	   11970.50	   12586.75	           	           	           	           	
 2019/07/22	   11650	   11695	   11500	   11690	          59114	   11565.00	   11548.50	   11920.75	   12570.50	           	           	           	           	
 2019/07/23	   11695	   11750	   11610	   11640	          56672	   11614.00	   11567.50	   11866.50	   12554.67	           	           	           	           	
 2019/07/24	   11620	   11655	   11530	   11610	          54756	   11638.00	   11568.50	   11812.25	   12537.83	           	           	           	           	
 2019/07/25	   11610	   11880	   11605	   11825	          98360	   11687.00	   11589.50	   11769.75	   12528.00	           	           	           	           	
 2019/07/26	   11800	   11855	   11710	   11715	          62994	   11696.00	   11615.00	   11738.75	   12516.83	           	           	           	           	
 2019/07/29	   11695	   11710	   11540	   11615	          92240	   11681.00	   11623.00	   11703.50	   12496.75	           	           	           	           	
 2019/07/30	   11570	   11640	   11405	   11465	         109196	   11646.00	   11630.00	   11668.00	   12474.83	           	           	           	           	
 2019/07/31	   11450	   11600	   11420	   11595	         113050	   11643.00	   11640.50	   11648.00	   12452.00	           	           	           	           	
 2019/08/01	   11575	   11590	   11450	   11455	         115646	   11569.00	   11628.00	   11616.00	   12428.75	           	           	           	           	
 2019/08/02	   11400	   11475	   11120	   11195	         189810	   11465.00	   11580.50	   11569.50	   12402.00	           	           	           	           	
 2019/08/05	   11195	   11295	   11155	   11180	         141468	   11378.00	   11529.50	   11539.00	   12375.50	           	           	           	           	
 2019/08/06	   11215	   11590	   11190	   11555	         246068	   11396.00	   11521.00	   11544.25	   12353.67	           	           	           	           	
 2019/08/07	   11540	   11590	   11450	   11495	         187790	   11376.00	   11509.50	   11539.00	   12336.75	           	           	           	           	
 2019/08/08	   11485	   11670	   11365	   11575	         340728	   11400.00	   11484.50	   11537.00	   12318.17	           	           	           	           	
 2019/08/09	   11565	   11730	   11420	   11625	         392462	   11486.00	   11475.50	   11545.25	   12292.08	           	           	           	           	
 2019/08/12	   11575	   11655	   11430	   11490	         365526	   11548.00	   11463.00	   11543.00	   12263.83	           	           	           	           	
 2019/08/13	   11485	   11545	   11320	   11360	         282754	   11509.00	   11452.50	   11541.25	   12236.08	           	           	           	           	
 2019/08/14	   11365	   11560	   11305	   11525	         329260	   11515.00	   11445.50	   11543.00	   12205.17	           	           	           	           	
 2019/08/15	   11470	   11530	   11345	   11375	         255432	   11475.00	   11437.50	   11532.75	   12179.83	           	           	           	           	
 2019/08/16	   11365	   11460	   11320	   11375	         220910	   11425.00	   11455.50	   11518.00	   12157.92	           	           	           	           	
 2019/08/19	   11405	   11640	   11395	   11635	         361568	   11454.00	   11501.00	   11515.25	   12138.83	           	           	           	           	
 2019/08/20	   11615	   11670	   11535	   11565	         207906	   11495.00	   11502.00	   11511.50	   12118.58	           	           	           	           	
 2019/08/21	   11545	   11555	   11345	   11390	         277886	   11468.00	   11491.50	   11500.50	   12093.00	           	           	           	           	
 2019/08/22	   11390	   11470	   11305	   11435	         220890	   11480.00	   11477.50	   11481.00	   12063.67	           	           	           	           	
 2019/08/23	   11445	   11455	   11360	   11385	         161364	   11482.00	   11453.50	   11464.50	   12036.83	           	           	           	           	
 2019/08/26	   11355	   11525	   11200	   11500	         396956	   11455.00	   11454.50	   11458.75	   12008.42	           	           	           	           	
 2019/08/27	   11500	   11585	   11465	   11535	         256626	   11449.00	   11472.00	   11462.25	   11986.50	           	           	           	           	
 2019/08/28	   11565	   11820	   11480	   11680	         628020	   11507.00	   11487.50	   11466.50	   11966.75	           	           	           	           	
 2019/08/29	   11660	   11750	   11620	   11640	         250836	   11548.00	   11514.00	   11475.75	   11943.08	           	           	           	           	
 2019/08/30	   11675	   11870	   11655	   11815	         471432	   11634.00	   11558.00	   11506.75	   11920.50	           	           	           	           	
 2019/09/02	   11820	   11960	   11675	   11750	         451206	   11684.00	   11569.50	   11535.25	   11895.75	           	           	           	           	
 2019/09/03	   11750	   11935	   11700	   11935	         352848	   11764.00	   11606.50	   11554.25	   11871.33	           	           	           	           	
 2019/09/04	   11905	   12170	   11830	   12110	         569164	   11850.00	   11678.50	   11585.00	   11854.50	           	           	           	           	
 2019/09/05	   12115	   12185	   12010	   12060	         382054	   11934.00	   11741.00	   11609.25	   11835.08	           	           	           	           	
 2019/09/06	   12080	   12210	   11875	   11930	         520226	   11957.00	   11795.50	   11624.50	   11818.50	           	           	           	           	
 2019/09/09	   11930	   12080	   11895	   12070	         323236	   12021.00	   11852.50	   11653.50	   11807.08	           	           	           	           	
 2019/09/10	   12065	   12085	   11920	   12055	         328278	   12045.00	   11904.50	   11688.25	   11793.75	           	           	           	           	
 2019/09/11	   12045	   12060	   11880	   12000	         352868	   12023.00	   11936.50	   11712.00	   11780.92	           	           	           	           	
 2019/09/12	   11985	   12020	   11885	   11915	         298646	   11994.00	   11964.00	   11739.00	   11766.42	           	           	           	           	
