                  白糖2001 (SR2001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	
 2019/01/16	    4799	    4900	    4788	    4888	          15202	           	           	           	           	           	           	           	           	
 2019/01/17	    4888	    4891	    4852	    4858	           7542	           	           	           	           	           	           	           	           	
 2019/01/18	    4850	    4865	    4834	    4855	           7478	           	           	           	           	           	           	           	           	
 2019/01/21	    4858	    5027	    4855	    4992	          16098	           	           	           	           	           	           	           	           	
 2019/01/22	    4999	    5003	    4898	    4905	          12106	    4899.60	           	           	           	           	           	           	           	
 2019/01/23	    4898	    4922	    4869	    4911	           7972	    4904.20	           	           	           	           	           	           	           	
 2019/01/24	    4913	    4920	    4887	    4906	           6574	    4913.80	           	           	           	           	           	           	           	
 2019/01/25	    4911	    4952	    4902	    4913	           7530	    4925.40	           	           	           	           	           	           	           	
 2019/01/28	    4901	    4922	    4892	    4901	           5370	    4907.20	           	           	           	           	           	           	           	
 2019/01/29	    4904	    4935	    4901	    4915	           5106	    4909.20	    4904.40	           	           	           	           	           	           	
 2019/01/30	    4915	    4927	    4900	    4910	           8592	    4909.00	    4906.60	           	           	           	           	           	           	
 2019/01/31	    4906	    4925	    4899	    4920	           7764	    4911.80	    4912.80	           	           	           	           	           	           	
 2019/02/01	    4927	    4951	    4915	    4932	           5294	    4915.60	    4920.50	           	           	           	           	           	           	
 2019/02/11	    4951	    5085	    4939	    5029	           8830	    4941.20	    4924.20	           	           	           	           	           	           	
 2019/02/12	    5025	    5072	    5013	    5067	           8106	    4971.60	    4940.40	           	           	           	           	           	           	
 2019/02/13	    5080	    5088	    5001	    5045	           8322	    4998.60	    4953.80	           	           	           	           	           	           	
 2019/02/14	    5048	    5065	    4999	    5000	          13992	    5014.60	    4963.20	           	           	           	           	           	           	
 2019/02/15	    5002	    5011	    4963	    4964	          11298	    5021.00	    4968.30	           	           	           	           	           	           	
 2019/02/18	    4987	    5085	    4980	    5033	          15340	    5021.80	    4981.50	           	           	           	           	           	           	
 2019/02/19	    5028	    5044	    5010	    5043	           5820	    5017.00	    4994.30	    4949.35	           	           	           	           	           	
 2019/02/20	    5043	    5070	    5031	    5047	           8422	    5017.40	    5008.00	    4957.30	           	           	           	           	           	
 2019/02/21	    5038	    5098	    5030	    5072	          12226	    5031.80	    5023.20	    4968.00	           	           	           	           	           	
 2019/02/22	    5069	    5185	    5069	    5183	          22336	    5075.60	    5048.30	    4984.40	           	           	           	           	           	
 2019/02/25	    5200	    5209	    5163	    5172	          25784	    5103.40	    5062.60	    4993.40	           	           	           	           	           	
 2019/02/26	    5171	    5230	    5154	    5179	          26432	    5130.60	    5073.80	    5007.10	           	           	           	           	           	
 2019/02/27	    5177	    5199	    5112	    5133	          15982	    5147.80	    5082.60	    5018.20	           	           	           	           	           	
 2019/02/28	    5134	    5150	    5118	    5143	           8934	    5162.00	    5096.90	    5030.05	           	           	           	           	           	
 2019/03/01	    5140	    5159	    5124	    5150	          12624	    5155.40	    5115.50	    5041.90	           	           	           	           	           	
 2019/03/04	    5150	    5165	    5096	    5121	          14930	    5145.20	    5124.30	    5052.90	           	           	           	           	           	
 2019/03/05	    5124	    5159	    5090	    5121	           9662	    5133.60	    5132.10	    5063.20	           	           	           	           	           	
 2019/03/06	    5131	    5150	    5110	    5124	          19684	    5131.80	    5139.80	    5073.90	           	           	           	           	           	
 2019/03/07	    5116	    5139	    5101	    5122	          11722	    5127.60	    5144.80	    5084.00	           	           	           	           	           	
 2019/03/08	    5124	    5128	    5063	    5094	          13108	    5116.40	    5135.90	    5092.10	           	           	           	           	           	
 2019/03/11	    5093	    5111	    5085	    5101	          16326	    5112.40	    5128.80	    5095.70	           	           	           	           	           	
 2019/03/12	    5101	    5111	    5059	    5069	          17318	    5102.00	    5117.80	    5095.80	           	           	           	           	           	
 2019/03/13	    5082	    5094	    5060	    5083	           6142	    5093.80	    5112.80	    5097.70	           	           	           	           	           	
 2019/03/14	    5082	    5116	    5078	    5088	          17366	    5087.00	    5107.30	    5102.10	           	           	           	           	           	
 2019/03/15	    5108	    5112	    5073	    5094	          10936	    5087.00	    5101.70	    5108.60	           	           	           	           	           	
 2019/03/18	    5087	    5135	    5087	    5121	          17766	    5091.00	    5101.70	    5113.00	           	           	           	           	           	
 2019/03/19	    5130	    5135	    5109	    5120	          12938	    5101.20	    5101.60	    5116.85	           	           	           	           	           	
 2019/03/20	    5122	    5126	    5083	    5104	          14880	    5105.40	    5099.60	    5119.70	           	           	           	           	           	
 2019/03/21	    5102	    5112	    5096	    5102	           4298	    5108.20	    5097.60	    5121.20	           	           	           	           	           	
 2019/03/22	    5096	    5096	    5055	    5064	          20992	    5102.20	    5094.60	    5115.25	           	           	           	           	           	
 2019/03/25	    5066	    5080	    5031	    5039	          10636	    5085.80	    5088.40	    5108.60	           	           	           	           	           	
 2019/03/26	    5030	    5058	    5021	    5057	           8142	    5073.20	    5087.20	    5102.50	           	           	           	           	           	
 2019/03/27	    5055	    5063	    5041	    5044	           5458	    5061.20	    5083.30	    5098.05	           	           	           	           	           	
 2019/03/28	    5049	    5054	    5020	    5037	          19078	    5048.20	    5078.20	    5092.75	           	           	           	           	           	
 2019/03/29	    5031	    5088	    5024	    5088	          18386	    5053.00	    5077.60	    5089.65	           	           	           	           	           	
 2019/04/01	    5085	    5099	    5061	    5086	          18218	    5062.40	    5074.10	    5087.90	           	           	           	           	           	
 2019/04/02	    5074	    5102	    5064	    5098	          22368	    5070.60	    5071.90	    5086.75	           	           	           	           	           	
 2019/04/03	    5098	    5103	    5081	    5096	          13652	    5081.00	    5071.10	    5085.35	           	           	           	           	           	
 2019/04/04	    5103	    5105	    5075	    5087	          16022	    5091.00	    5069.60	    5083.60	           	           	           	           	           	
 2019/04/08	    5094	    5125	    5093	    5114	          19174	    5096.20	    5074.60	    5084.60	           	           	           	           	           	
 2019/04/09	    5106	    5112	    5081	    5095	          17928	    5098.00	    5080.20	    5084.30	           	           	           	           	           	
 2019/04/10	    5110	    5289	    5106	    5248	          94378	    5128.00	    5099.30	    5093.25	           	           	           	           	           	
 2019/04/11	    5240	    5371	    5232	    5300	         128774	    5168.80	    5124.90	    5104.10	           	           	           	           	           	
 2019/04/12	    5298	    5343	    5272	    5332	          78568	    5217.80	    5154.40	    5116.30	           	           	           	           	           	
 2019/04/15	    5330	    5531	    5322	    5531	         197254	    5301.20	    5198.70	    5138.15	           	           	           	           	           	
 2019/04/16	    5526	    5555	    5452	    5505	         258984	    5383.20	    5240.60	    5157.35	           	           	           	           	           	
 2019/04/17	    5494	    5516	    5458	    5502	         151320	    5434.00	    5281.00	    5176.45	    5080.88	           	           	           	           	
 2019/04/18	    5506	    5519	    5389	    5416	         172086	    5457.20	    5313.00	    5192.05	    5089.68	           	           	           	           	
 2019/04/19	    5438	    5613	    5436	    5532	         421150	    5497.20	    5357.50	    5213.55	    5100.92	           	           	           	           	
 2019/04/22	    5533	    5583	    5482	    5536	         252688	    5498.20	    5399.70	    5237.15	    5112.27	           	           	           	           	
 2019/04/23	    5541	    5564	    5502	    5517	         156314	    5500.60	    5441.90	    5261.05	    5121.02	           	           	           	           	
 2019/04/24	    5528	    5545	    5462	    5524	         175824	    5505.00	    5469.50	    5284.40	    5131.33	           	           	           	           	
 2019/04/25	    5520	    5520	    5404	    5407	         242480	    5503.20	    5480.20	    5302.55	    5139.60	           	           	           	           	
 2019/04/26	    5406	    5415	    5306	    5315	         282886	    5459.80	    5478.50	    5316.45	    5146.42	           	           	           	           	
 2019/04/29	    5309	    5326	    5275	    5287	         166452	    5410.00	    5454.10	    5326.40	    5152.65	           	           	           	           	
 2019/04/30	    5283	    5288	    5151	    5175	         231412	    5341.60	    5421.10	    5330.85	    5157.22	           	           	           	           	
