                  PTA2001 (TA2001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	
 2019/01/16	    5820	    5822	    5748	    5788	           2826	           	           	           	           	           	           	           	           	
 2019/01/17	    5788	    5800	    5754	    5780	           1942	           	           	           	           	           	           	           	           	
 2019/01/18	    5728	    5862	    5722	    5858	          16732	           	           	           	           	           	           	           	           	
 2019/01/21	    5862	    5962	    5848	    5940	          10716	           	           	           	           	           	           	           	           	
 2019/01/22	    5960	    6040	    5938	    5980	          10200	    5869.20	           	           	           	           	           	           	           	
 2019/01/23	    5976	    5996	    5928	    5950	           5156	    5901.60	           	           	           	           	           	           	           	
 2019/01/24	    5980	    6010	    5912	    5944	           2772	    5934.40	           	           	           	           	           	           	           	
 2019/01/25	    5922	    6060	    5916	    6030	           7132	    5968.80	           	           	           	           	           	           	           	
 2019/01/28	    6018	    6052	    5924	    5932	           6690	    5967.20	           	           	           	           	           	           	           	
 2019/01/29	    5948	    5982	    5902	    5936	           2968	    5958.40	    5913.80	           	           	           	           	           	           	
 2019/01/30	    5960	    6004	    5908	    5974	           3282	    5963.20	    5932.40	           	           	           	           	           	           	
 2019/01/31	    5974	    6114	    5972	    6092	           5642	    5992.80	    5963.60	           	           	           	           	           	           	
 2019/02/01	    6080	    6174	    6066	    6118	           2514	    6010.40	    5989.60	           	           	           	           	           	           	
 2019/02/11	    6074	    6154	    6024	    6104	           1348	    6044.80	    6006.00	           	           	           	           	           	           	
 2019/02/12	    6120	    6200	    6120	    6174	           3592	    6092.40	    6025.40	           	           	           	           	           	           	
 2019/02/13	    6198	    6234	    6032	    6032	           6206	    6104.00	    6033.60	           	           	           	           	           	           	
 2019/02/14	    6034	    6080	    6000	    6030	           4112	    6091.60	    6042.20	           	           	           	           	           	           	
 2019/02/15	    6040	    6052	    5932	    5974	           7250	    6062.80	    6036.60	           	           	           	           	           	           	
 2019/02/18	    6000	    6106	    5950	    6066	           4314	    6055.20	    6050.00	           	           	           	           	           	           	
 2019/02/19	    6078	    6086	    6000	    6048	           3484	    6030.00	    6061.20	    5987.50	           	           	           	           	           	
 2019/02/20	    6026	    6068	    6000	    6040	           2000	    6031.60	    6067.80	    6000.10	           	           	           	           	           	
 2019/02/21	    6020	    6144	    6014	    6070	           3002	    6039.60	    6065.60	    6014.60	           	           	           	           	           	
 2019/02/22	    6062	    6090	    6030	    6086	           4264	    6062.00	    6062.40	    6026.00	           	           	           	           	           	
 2019/02/25	    6100	    6136	    6056	    6106	           4882	    6070.00	    6062.60	    6034.30	           	           	           	           	           	
 2019/02/26	    6082	    6082	    5960	    6016	           5074	    6063.60	    6046.80	    6036.10	           	           	           	           	           	
 2019/02/27	    6028	    6040	    5964	    5966	           2932	    6048.80	    6040.20	    6036.90	           	           	           	           	           	
 2019/02/28	    5998	    6016	    5960	    5980	           2018	    6030.80	    6035.20	    6038.70	           	           	           	           	           	
 2019/03/01	    5982	    6158	    5952	    6148	           7158	    6043.20	    6052.60	    6044.60	           	           	           	           	           	
 2019/03/04	    6142	    6248	    6122	    6210	           7284	    6064.00	    6067.00	    6058.50	           	           	           	           	           	
 2019/03/05	    6200	    6228	    6134	    6178	           5320	    6096.40	    6080.00	    6070.60	           	           	           	           	           	
 2019/03/06	    6180	    6226	    6116	    6218	          12764	    6146.80	    6097.80	    6082.80	           	           	           	           	           	
 2019/03/07	    6212	    6254	    6120	    6126	          17156	    6176.00	    6103.40	    6084.50	           	           	           	           	           	
 2019/03/08	    6134	    6142	    5938	    5966	          11420	    6139.60	    6091.40	    6076.90	           	           	           	           	           	
 2019/03/11	    5960	    5960	    5868	    5876	          12432	    6072.80	    6068.40	    6065.50	           	           	           	           	           	
 2019/03/12	    5882	    5934	    5860	    5924	          11876	    6022.00	    6059.20	    6053.00	           	           	           	           	           	
 2019/03/13	    5924	    5950	    5884	    5912	           5814	    5960.80	    6053.80	    6047.00	           	           	           	           	           	
 2019/03/14	    5918	    5928	    5878	    5892	          19224	    5914.00	    6045.00	    6040.10	           	           	           	           	           	
 2019/03/15	    5890	    5898	    5682	    5702	          52190	    5861.20	    6000.40	    6026.50	           	           	           	           	           	
 2019/03/18	    5698	    5718	    5660	    5672	          20898	    5820.40	    5946.60	    6006.80	           	           	           	           	           	
 2019/03/19	    5678	    5764	    5676	    5722	          17924	    5780.00	    5901.00	    5990.50	           	           	           	           	           	
 2019/03/20	    5736	    5762	    5690	    5744	          19282	    5746.40	    5853.60	    5975.70	           	           	           	           	           	
 2019/03/21	    5736	    5746	    5706	    5712	          56512	    5710.40	    5812.20	    5957.80	           	           	           	           	           	
 2019/03/22	    5714	    5726	    5700	    5706	          14000	    5711.20	    5786.20	    5938.80	           	           	           	           	           	
 2019/03/25	    5690	    5702	    5636	    5664	          29758	    5709.60	    5765.00	    5916.70	           	           	           	           	           	
 2019/03/26	    5674	    5694	    5658	    5662	          14160	    5697.60	    5738.80	    5899.00	           	           	           	           	           	
 2019/03/27	    5678	    5690	    5650	    5654	           8576	    5679.60	    5713.00	    5883.40	           	           	           	           	           	
 2019/03/28	    5654	    5666	    5602	    5608	          19692	    5658.80	    5684.60	    5864.80	           	           	           	           	           	
 2019/03/29	    5608	    5610	    5526	    5564	          85930	    5630.40	    5670.80	    5835.60	           	           	           	           	           	
 2019/04/01	    5586	    5670	    5576	    5638	          53560	    5625.20	    5667.40	    5807.00	           	           	           	           	           	
 2019/04/02	    5642	    5662	    5614	    5626	          32180	    5618.00	    5657.80	    5779.40	           	           	           	           	           	
 2019/04/03	    5628	    5692	    5624	    5676	          47928	    5622.40	    5651.00	    5752.30	           	           	           	           	           	
 2019/04/04	    5688	    5746	    5678	    5738	          38618	    5648.40	    5653.60	    5732.90	           	           	           	           	           	
 2019/04/08	    5770	    5890	    5758	    5800	         101402	    5695.60	    5663.00	    5724.60	           	           	           	           	           	
 2019/04/09	    5800	    5866	    5798	    5844	          43084	    5736.80	    5681.00	    5723.00	           	           	           	           	           	
 2019/04/10	    5840	    5858	    5820	    5836	          37172	    5778.80	    5698.40	    5718.60	           	           	           	           	           	
 2019/04/11	    5838	    5904	    5832	    5878	          54074	    5819.20	    5720.80	    5716.90	           	           	           	           	           	
 2019/04/12	    5876	    5880	    5804	    5868	          69522	    5845.20	    5746.80	    5715.70	           	           	           	           	           	
 2019/04/15	    5880	    5956	    5854	    5884	         100036	    5862.00	    5778.80	    5724.80	           	           	           	           	           	
 2019/04/16	    5888	    5914	    5848	    5898	          63044	    5872.80	    5804.80	    5736.10	           	           	           	           	           	
 2019/04/17	    5906	    5916	    5860	    5866	          38908	    5878.80	    5828.80	    5743.30	    5907.10	           	           	           	           	
 2019/04/18	    5852	    5852	    5626	    5632	         104780	    5829.60	    5824.40	    5737.70	    5904.50	           	           	           	           	
 2019/04/19	    5650	    5726	    5636	    5692	         204614	    5794.40	    5819.80	    5736.70	    5903.03	           	           	           	           	
 2019/04/22	    5696	    5772	    5686	    5720	          84432	    5761.60	    5811.80	    5737.40	    5900.73	           	           	           	           	
 2019/04/23	    5726	    5772	    5700	    5732	          67812	    5728.40	    5800.60	    5740.80	    5897.27	           	           	           	           	
 2019/04/24	    5728	    5750	    5684	    5690	          49878	    5693.20	    5786.00	    5742.20	    5892.43	           	           	           	           	
